date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:26	118998/118998	---M--	200	added ('OK')	image/jpeg	etag:%221d0d6-5d18da73%22	http://www.newbird.co.kr/nbadm/data/uploads/201febd5bbb881eb5e3c615529ff86f41561909875_35440.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/201febd5bbb881eb5e3c615529ff86f41561909875_35440.jpg	(from http://www.newbird.co.kr/)
11:40:27	12024/12024	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:40:28%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=61	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/viewe289.html	(from http://www.newbird.co.kr/)
11:41:07	247732/247732	---M--	200	added ('OK')	image/jpeg	etag:%223c7b4-5d16131b%22	http://www.newbird.co.kr/nbadm/data/uploads/727201b512ed8af35c8bedebd8b959e21561727771_5066.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/727201b512ed8af35c8bedebd8b959e21561727771_5066.jpg	(from http://www.newbird.co.kr/)
11:41:09	11967/11967	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:41:09%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=54	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/viewed55.html	(from http://www.newbird.co.kr/)
11:42:40	562994/562994	---M--	200	added ('OK')	image/jpeg	etag:%2289732-5d122325%22	http://www.newbird.co.kr/nbadm/data/uploads/42b99ad849e71e24b8b479ef888031101561469733_6683.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/42b99ad849e71e24b8b479ef888031101561469733_6683.jpg	(from http://www.newbird.co.kr/)
11:42:41	11931/11931	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:42:42%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=57	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/view8e22.html	(from http://www.newbird.co.kr/)
11:42:53	1658314/1658314	---M--	200	added ('OK')	image/png	etag:%22194dca-5df0d2c3%22	http://www.newbird.co.kr/nbadm/data/uploads/5960e4bcaf034b4c69fd20186fba4df61576063683_94831.png	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/5960e4bcaf034b4c69fd20186fba4df61576063683_94831.png	(from http://www.newbird.co.kr/)
11:42:54	12101/12101	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:42:54%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=67	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/viewbdff.html	(from http://www.newbird.co.kr/)
11:43:04	138564/138564	---M--	200	added ('OK')	image/jpeg	etag:%2221d44-5d18df9e%22	http://www.newbird.co.kr/nbadm/data/uploads/a444c394e88bd5736592c8e3684ecbf21561911198_19173.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/a444c394e88bd5736592c8e3684ecbf21561911198_19173.jpg	(from http://www.newbird.co.kr/)
11:43:05	11996/11996	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:43:05%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=55	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/view084f.html	(from http://www.newbird.co.kr/)
